"Shape_Leng","Shape_Area","ADM2_EN","ADM2_MN","ADM2_PCODE","ADM2_REF","ADM2ALT1EN","ADM2ALT2EN","ADM2ALT1MN","ADM2ALT2MN","ADM1_EN","ADM1_MN","ADM1_PCODE","ADM0_EN","ADM0_MN","ADM0_PCODE","date","validOn","validTo","ID","SOCmean","SOCmin","SOCmax","SOCsd"
3.79560585992,0.401948297671,"Myangad","Мянгад","MN8434",NA,NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,27,40.7991276530858,24.1555536689386,76.7269090616827,10.6592435975828
3.70569585208,0.643450429502,"Naranbulag","Наранбулаг","MN8525",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,28,46.8381904052755,29.0236702606878,73.1954014732203,8.47290348843244
5.09078357465,0.655160364162,"Nogoonnuur","Ногооннуур","MN8325",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,29,48.8565810267341,30.0354400000905,71.4204168424419,7.88104030050053
0.526075331982,0.0122244623876,"O'lgii","Өлгий","MN8301","Olgii",NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,30,37.2368715431946,28.8581416462958,56.7573107877597,5.50378715202568
2.83220722735,0.292590715933,"O'lgii","Өлгий","MN8528","Olgii",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,31,41.0429614422259,26,65.0295002349855,6.52454169192794
3.2427148767,0.388110364709,"O'mnogovi","Өмнөгөвь","MN8531","Omnogovi",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,32,47.3571869620019,27.0346322999048,71.5759525572625,6.80594089469713
3.14369608994,0.571488895109,"O'ndorxangai","Өндөрхангай","MN8534","Ondorxangai",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,33,53.5610135236028,31,78.8906905957194,11.1708460369596
4.03343335488,0.492498919505,"Sagil","Сагил","MN8537",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,34,52.1088685265616,36.542368136771,81.380621068008,7.4310863469131
5.00158104277,0.38913403858,"Sagsai","Сагсай","MN8328",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,35,52.7685149656561,29,73.222036856936,9.52252542581463
3.79314140382,0.475307119274,"Tarialan","Тариалан","MN8540",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,36,55.8321931058131,39,79.1758620928413,6.03449477485985
4.96067115308,0.397425648191,"Tes","Тэс","MN8546",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,37,49.0814633987073,39,70.2393272888212,3.95800454117574
3.18687882486,0.360862714163,"Tolbo","Толбо","MN8331",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,38,51.4156877567276,27.9147103020142,70.8391247062862,8.14021902325751
2.64718513532,0.264017884067,"Tu'rgen","Түргэн","MN8543","Turgen",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,39,55.3531676279878,38.1287301901776,82.507054329241,6.1510922292751
5.65708002218,0.858230836543,"U'yench","Үенч","MN8437","Uyench",NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,40,31.8959510027653,16,76.3116858112328,13.3003643465202
2.43000593463,0.161084617198,"Ulaangom","Улаангом","MN8501",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,41,49.8472273560924,38,66.1146547859608,5.86338420073957
8.6339180673,0.73972718426,"Ulaanxus","Улаанхус","MN8334",NA,NA,NA,NA,NA,"Bayan-Olgii","Баян-Өлгий","MN83","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,42,51.9122452533437,29.7541449509822,85.5921812303513,7.40999777463985
3.27794093741,0.343571650439,"Xovd","Ховд","MN8440",NA,NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,43,45.0476371228813,25.867874219764,76.2688191805205,9.92717091620313
2.69925246074,0.356447382441,"Xovd","Ховд","MN8549",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,44,48.5591943991414,31.1872625508918,68.2148645179638,6.77478171547843
2.89960634603,0.401358718927,"Xyargas","Хяргас","MN8552",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,45,56.7873174145726,29.2020031320122,77.8002880184434,9.69041328044485
4.69418117743,0.848019397369,"Zavxan","Завхан","MN8513",NA,NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,46,34.8246552065203,23,65.6829873937674,5.97299077750207
2.38459378822,0.298608524139,"Zereg","Зэрэг","MN8422",NA,NA,NA,NA,NA,"Khovd","Ховд","MN84","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,47,40.5326874234154,23.1112485580221,81.6960306577662,11.0645682253884
3.57525272177,0.503533481591,"Zu'ungovi","Зүүнговь","MN8516","Zuungovi",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,48,51.7625651858825,40.0418019417338,71,4.7344105515671
2.96053528909,0.328477769004,"Zu'unxangai","Зүүнхангай","MN8519","Zuunxangai",NA,NA,NA,NA,"Uvs","Увс","MN85","Mongolia","монгол","MN",2016-12-01,2020-10-19,NA,49,58.6114382431238,38.2111659944505,76.3833663601997,7.4628283986479
